Anzahl Elemente;gestoppte Zeit[ms]
1;1
2;0
3;0
4;0
5;1
6;0
7;0
8;0
9;0
10;0
20;0
30;1
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;0
400;0
500;0
600;0
700;1
800;0
900;0
1000;0
2000;1
3000;1
4000;1
5000;2
6000;0
7000;1
8000;2
9000;1
10000;2
20000;3
30000;5
40000;8
50000;10
60000;12
70000;14
80000;16
90000;18
100000;20
200000;42
300000;65
400000;76
500000;93
600000;113
700000;134
800000;144
900000;69
1000000;77
2000000;451
3000000;587
4000000;765
5000000;423
6000000;518
7000000;595
8000000;692
9000000;779
10000000;993
20000000;2051
30000000;3319
40000000;4896
50000000;4788
60000000;7186
70000000;6705
80000000;7846
90000000;10317
100000000;11521
